iter	Passed	Remaining
0	5	8140
1	8	6341
2	10	5313
3	12	4780
4	15	4648
5	17	4349
6	19	4153
7	21	4072
8	23	3930
9	25	3840
10	29	3955
11	31	3866
12	33	3792
13	35	3747
14	37	3696
15	39	3639
16	42	3688
17	44	3669
18	46	3626
19	49	3662
20	52	3679
21	55	3706
22	57	3683
23	59	3645
24	61	3630
25	63	3604
26	65	3579
27	67	3560
28	70	3596
29	73	3579
30	76	3616
31	78	3600
32	80	3577
33	83	3590
34	85	3582
35	87	3561
36	90	3562
37	92	3554
38	94	3534
39	96	3530
40	99	3547
41	103	3590
42	105	3576
43	107	3557
44	110	3562
45	112	3550
46	114	3538
47	117	3541
48	119	3529
49	121	3518
50	124	3531
51	126	3520
52	128	3507
53	131	3518
54	133	3505
55	135	3492
56	138	3504
57	140	3492
58	142	3480
59	145	3489
60	147	3478
61	149	3471
62	151	3463
63	154	3455
64	156	3449
65	159	3467
66	162	3466
67	165	3494
68	169	3524
69	174	3571
70	179	3611
71	181	3599
72	183	3590
73	185	3584
74	189	3599
75	194	3648
76	199	3693
77	204	3724
78	208	3753
79	213	3782
80	215	3769
81	217	3767
82	220	3759
83	222	3756
84	224	3742
85	226	3731
86	229	3726
87	231	3714
88	233	3702
89	236	3697
90	238	3685
91	240	3679
92	242	3671
93	244	3659
94	246	3649
95	249	3643
96	251	3632
97	253	3622
98	256	3627
99	258	3618
100	260	3608
101	262	3601
102	264	3589
103	266	3582
104	269	3576
105	271	3568
106	273	3567
107	276	3559
108	278	3551
109	281	3553
110	283	3546
111	285	3537
112	287	3533
113	290	3529
114	293	3531
115	297	3549
116	300	3554
117	302	3547
118	305	3544
119	307	3539
120	310	3534
121	312	3532
122	315	3527
123	317	3525
124	319	3519
125	322	3511
126	324	3503
127	326	3497
128	328	3491
129	331	3496
130	333	3488
131	335	3480
132	338	3479
133	340	3472
134	342	3464
135	344	3457
136	347	3454
137	349	3450
138	351	3445
139	354	3439
140	356	3439
141	358	3432
142	360	3425
143	363	3423
144	365	3417
145	367	3411
146	370	3409
147	372	3402
148	374	3395
149	377	3396
150	379	3389
151	381	3382
152	384	3383
153	386	3376
154	390	3388
155	392	3384
156	396	3395
157	399	3390
158	402	3393
159	404	3386
160	406	3379
161	410	3388
162	413	3387
163	415	3384
164	418	3383
165	420	3376
166	423	3380
167	425	3373
168	427	3369
169	429	3363
170	433	3365
171	435	3364
172	437	3358
173	439	3352
174	442	3348
175	444	3342
176	447	3342
177	452	3362
178	455	3360
179	457	3354
180	459	3348
181	461	3342
182	463	3337
183	465	3332
184	467	3326
185	470	3326
186	472	3320
187	474	3313
188	477	3308
189	478	3302
190	481	3298
191	483	3296
192	485	3289
193	487	3282
194	491	3286
195	494	3290
196	497	3289
197	499	3286
198	502	3282
199	504	3282
200	507	3276
201	509	3273
202	511	3268
203	513	3264
204	516	3260
205	518	3255
206	520	3254
207	523	3250
208	525	3244
209	527	3239
210	529	3234
211	531	3228
212	533	3223
213	535	3218
214	538	3219
215	541	3219
216	543	3214
217	545	3209
218	549	3213
219	551	3208
220	553	3204
221	556	3204
222	558	3199
223	561	3198
224	563	3193
225	567	3197
226	569	3193
227	571	3188
228	574	3189
229	576	3184
230	579	3184
231	582	3183
232	584	3178
233	588	3182
234	591	3183
235	594	3182
